x,y,z
0,1095,199
-15,1079,159
-47,1079,135
-31,1071,143
-55,1079,175
-47,1103,183
-15,1087,167
-31,1079,151
-31,1119,143
-63,1095,175
-47,1111,183
-31,1111,167
-47,1071,143
-31,1079,159
-31,1071,135
-23,1087,159
-31,1063,159
-23,1087,135
0,1079,159
-31,1119,159
-39,1103,167
-47,1071,175
-47,1063,151
0,1087,135
-31,1095,183
-39,1079,167
-23,1079,167
-15,1079,167
-31,1095,159
-55,1095,167
-23,1095,191
-47,1087,175
-15,1079,151
-15,1079,175
-31,1087,167
-15,1071,183
-15,1063,191
-23,1095,167
-23,1087,143
-31,1103,151
-23,1087,159
-31,1095,183
-31,1087,167
-15,1079,167
-23,1095,159
-7,1103,183
-31,1087,143
-39,1079,199
-23,1087,175
-23,1095,167
-31,1095,183
-47,1103,159
-47,1095,183
-31,1079,167
-31,1095,183
-23,1087,183
-31,1087,183
-39,1111,191
-31,1087,143
-31,1103,175
-23,1103,167
-31,1079,159
-31,1095,191
-31,1079,159
-47,1103,135
-39,1111,159
-31,1087,191
-39,1095,175
-39,1087,143
-23,1111,143
-15,1079,151
-47,1087,167
-31,1111,183
-47,1095,175
-31,1103,151
-15,1079,183
-63,1087,159
-15,1111,167
-23,1119,143
-15,1111,135
-7,1103,167
-47,1079,167
-47,1095,175
0,1087,159
0,1095,143
-39,1103,191
-39,1087,151
-23,1095,167
-39,1079,135
-47,1071,127
-7,1087,167
-15,1103,143
-15,1087,143
-15,1087,159
0,1103,183
-7,1111,143
-31,1063,151
-31,1119,159
-31,1095,159
-31,1095,151
-39,1103,159
-47,1055,135
-39,1079,159
-47,1103,167
-31,1103,151
-23,1103,183
-63,1063,159
0,1103,159
-47,1079,159
-47,1095,167
-7,1095,167
-47,1039,135
-31,1111,175
-39,1095,143
-31,1079,167
-23,1079,167
-23,1079,143
-31,1079,151
-23,1095,151
-15,1095,151
-31,1087,175
-31,1071,167
-31,1103,191
-23,1087,167
-39,1111,159
-31,1095,199
-31,1087,175
-31,1111,175
-31,1103,175
-39,1103,159
-31,1095,175
-31,1079,127
-23,1071,159
-7,1095,199
-39,1087,151
-7,1087,167
-31,1087,143
-31,1071,151
-31,1087,175
-23,1079,143
-23,1095,143
-23,1087,151
-15,1071,151
-39,1087,143
0,1095,151
-31,1087,151
-55,1055,175
0,1095,167
-15,1071,175
-31,1103,175
-15,1079,199
-31,1079,151
-15,1079,159
0,1095,167
-31,1095,175
-23,1087,183
-39,1095,191
-23,1079,207
-31,1087,175
-39,1111,167
-23,1079,183
-23,1103,159
-23,1079,167
-39,1063,159
-47,1095,175
-23,1087,175
-47,1071,127
-23,1119,175
-31,1087,175
-31,1095,207
-31,1111,191
0,1095,135
0,1111,167
-31,1095,167
-31,1095,183
-23,1095,159
-39,1079,135
-31,1087,151
-79,1087,159
-55,1103,143
-7,1079,199
0,1079,175
-23,1095,159
0,1095,159
-31,1111,175
-47,1127,135
0,1087,167
-15,1095,183
-23,1087,151
-39,1079,183
-31,1111,159
-47,1063,143
-23,1063,143
-23,1095,167
-7,1079,175
-7,1119,199
-31,1055,159
-15,1079,151
-39,1079,183
-31,1079,183
0,1119,183
-39,1087,159
0,1079,143
-31,1111,151
-39,1087,167
-23,1111,143
-39,1103,135
-31,1079,183
-23,1095,151
-39,1095,175
-47,1103,175
-31,1071,167
-23,1079,151
-15,1103,151
-63,1071,151
-23,1079,103
-47,1103,151
-15,1111,167
-15,1079,175
-23,1103,159
-31,1087,159
-31,1095,119
-23,1079,151
-31,1087,191
-39,1087,183
-31,1095,167
-63,1087,175
-47,1111,159
-15,1079,175
-39,1103,159
-47,1119,167
-47,1079,159
-23,1095,167
-15,1087,191
-39,1095,239
-39,1095,135
-31,1079,167
-23,1079,167
-23,1095,151
-39,1079,183
-23,1095,159
0,1079,151
-31,1087,183
-31,1111,159
-23,1103,175
-55,1079,167
0,1079,191
-23,1095,199
-55,1095,143
-15,1087,183
-15,1111,143
-31,1063,151
-47,1087,167
-31,1119,159
-39,1103,191
-15,1103,167
-31,1087,143
0,1095,191
-47,1087,151
-23,1087,151
-23,1079,127
-47,1063,167
0,1111,159
-23,1095,143
-39,1087,167
0,1079,175
-23,1087,135
-31,1095,151
-15,1087,143
-39,1095,183
-15,1095,207
0,1087,135
-23,1071,191
-31,1087,159
-39,1095,159
-55,1095,159
-23,1087,135
-23,1103,159
-31,1079,175
-63,1079,151
-39,1111,191
-31,1095,175
-31,1111,143
-15,1095,183
-47,1111,183
-47,1111,175
-47,1087,143
-23,1063,183
-23,1103,175
-39,1087,159
-15,1111,159
-39,1087,159
-39,1079,151
-39,1079,167
-31,1103,167
-15,1087,207
-23,1095,175
-15,1071,151
-55,1095,183
-31,1103,183
-31,1095,191
0,1095,151
-39,1087,135
-15,1079,175
-39,1087,111
-23,1103,175
0,1095,151
-23,1095,151
-39,1111,175
-31,1071,167
-47,1119,191
-39,1079,191
-31,1079,143
-39,1095,191
-39,1103,167
-23,1111,159
-47,1071,175
-23,1095,151
-15,1087,175
-31,1079,167
-23,1103,159
-23,1087,151
-39,1079,183
-31,1087,183
-31,1095,143
-23,1135,159
0,1087,151
-23,1079,151
-23,1095,183
-63,1111,183
0,1119,167
-47,1103,143
-23,1079,151
-31,1095,167
0,1079,175
-31,1087,183
-39,1087,167
-39,1103,191
-39,1087,167
-15,1087,183
-31,1087,135
-39,1087,199
-23,1087,151
-47,1087,167
-23,1079,183
-39,1071,183
-31,1087,207
0,1055,143
-39,1071,183
-31,1071,175
-23,1071,191
-31,1111,175
-39,1103,175
-31,1087,215
-31,1087,183
-31,1087,191
-39,1079,151
-23,1055,167
-15,1071,175
-39,1111,199
-31,1071,167
-23,1095,143
-23,1071,127
-31,1087,175
-15,1071,183
-39,1087,159
-31,1095,183
-39,1095,143
-39,1079,151
-31,1055,175
-39,1087,167
-31,1095,159
-15,1063,199
-23,1071,207
0,1079,143
-23,1055,167
-23,1095,175
-31,1071,143
-31,1103,191
-15,1095,151
-31,1063,151
-31,1095,167
-39,1071,159
-39,1111,175
-39,1095,159
-15,1079,167
-31,1095,207
-31,1079,159
-23,1103,159
-31,1079,143
-39,1071,151
-23,1103,159
-31,1087,159
-23,1103,191
0,1111,151
-31,1079,119
-15,1079,151
-23,1111,167
-23,1095,199
-23,1103,175
-39,1079,135
0,1103,167
-55,1095,151
-39,1095,167
-39,1087,151
-47,1071,159
-31,1095,159
-39,1079,151
-55,1095,175
0,1079,151
-31,1079,183
-31,1103,143
-23,1079,159
-47,1079,143
-39,1095,151
-31,1095,175
-23,1103,151
-23,1079,143
-15,1095,127
-23,1071,167
-31,1095,183
-23,1095,159
-47,1095,175
0,1103,151
-31,1087,135
-23,1087,207
-15,1079,151
-23,1079,127
-15,1111,135
-23,1095,143
-15,1103,159
-39,1095,151
-31,1087,151
-15,1103,167
-31,1071,159
-31,1071,151
-23,1079,151
-15,1087,151
-23,1071,191
-31,1055,151
-39,1079,159
-23,1111,135
-31,1087,167
-31,1087,151
-31,1087,175
-47,1087,159
-39,1119,167
-31,1079,159
-47,1095,183
-31,1103,175
-31,1087,159
-55,1111,135
-31,1095,175
-47,1087,183
-47,1079,151
-23,1087,159
-23,1095,159
-23,1087,159
-39,1095,151
-31,1087,167
-47,1087,167
-47,1079,159
0,1071,159
-23,1095,167
-15,1063,159
-47,1087,151
-31,1111,175
-31,1079,175
-31,1111,151
-15,1095,151
-31,1095,175
-47,1103,151
-31,1103,167
0,1079,111
-31,1095,159
-15,1079,151
-39,1111,183
-47,1071,191
-23,1079,151
-31,1079,167
-23,1063,199
-31,1111,175
-39,1103,191
0,1095,159
0,1079,127
0,1111,167
-55,1095,191
-31,1111,167
-31,1103,207
-31,1111,151
-31,1103,159
-47,1079,175
-31,1095,175
-55,1095,151
-47,1095,167
-23,1079,159
-31,1095,159
-31,1087,127
-15,1103,183
-39,1119,183
0,1079,183
-15,1095,183
-39,1079,159
-31,1103,191
-15,1071,183
-15,1079,183
-39,1095,183
-39,1103,127
0,1111,183
-39,1095,135
-47,1095,167
-15,1111,175
-23,1079,167
-23,1087,151
-39,1087,151
-23,1095,175
-31,1087,183
-31,1071,159
-39,1087,159
-31,1079,143
-31,1071,175
-23,1103,167
-47,1103,159
-15,1095,175
-31,1071,151
-31,1079,183
-39,1103,175
-39,1119,175
-39,1087,175
-47,1079,167
-23,1095,207
-31,1103,159
-31,1103,159
-7,1079,167
-31,1087,127
-39,1095,167
-47,1079,143
-31,1103,183
0,1071,135
-15,1079,175
-31,1103,167
-63,1087,159
-39,1095,191
-31,1103,175
-39,1079,151
-31,1079,167
-55,1095,159
-39,1095,151
-15,1095,159
-31,1087,143
-31,1095,175
-15,1087,151
-47,1095,183
-31,1095,151
-31,1087,167
-23,1079,175
-47,1087,167
-39,1095,167
-39,1095,159
-47,1087,191
-15,1111,183
-39,1111,183
-39,1079,175
-31,1095,159
-15,1095,151
-23,1079,183
-31,1087,175
-15,1103,175
0,1071,183
-23,1095,143
-23,1119,175
-55,1087,143
-23,1063,151
0,1079,175
-31,1079,175
-7,1103,151
0,1079,135
-23,1079,159
0,1095,159
-55,1079,151
-31,1087,151
-31,1087,151
-31,1087,159
-7,1095,159
-15,1103,167
-23,1071,175
-31,1079,151
-23,1103,159
-31,1087,183
-31,1111,215
-47,1063,143
-31,1087,135
-7,1095,167
-15,1087,191
-23,1063,167
-15,1079,191
-71,1095,159
-15,1095,175
-15,1095,175
-31,1095,167
-15,1087,151
-23,1103,175
-15,1103,151
-31,1119,151
-31,1087,183
-15,1119,175
-39,1087,135
-23,1111,183
0,1087,119
-7,1087,159
-23,1079,159
-55,1055,151
-23,1119,191
-23,1095,167
-23,1103,175
-39,1103,223
-31,1079,183
0,1103,183
-31,1087,183
-39,1111,167
-31,1103,159
-23,1071,175
-31,1079,159
-31,1119,191
-39,1119,151
-15,1095,143
-31,1079,159
-31,1087,167
-31,1095,215
0,1111,215
-31,1063,159
-39,1095,151
-47,1087,159
-31,1087,159
-31,1095,159
-23,1087,175
-31,1087,175
-31,1079,175
-23,1087,191
-23,1055,167
-7,1095,135
-31,1111,207
-31,1087,167
-31,1087,159
-23,1079,183
-23,1071,159
-31,1087,191
-31,1039,159
-23,1079,119
-31,1087,151
-23,1111,175
-39,1079,175
0,1095,167
-23,1095,167
-47,1071,159
-31,1087,143
0,1087,159
-23,1095,151
0,1111,151
-23,1119,175
0,1095,175
-31,1095,143
-47,1079,167
-15,1087,159
-39,1103,167
-23,1111,175
-39,1079,183
-39,1071,215
-23,1047,151
-23,1103,167
-63,1079,159
-31,1063,151
-15,1103,191
-23,1079,175
-7,1103,151
-31,1055,151
-31,1095,151
-31,1087,167
-31,1095,175
-31,1087,151
-55,1079,151
-31,1095,167
-31,1103,159
-55,1095,151
-63,1079,151
-15,1063,159
-39,1111,159
-31,1103,199
-31,1087,167
-31,1087,191
0,1071,159
-31,1095,191
-39,1079,183
-31,1103,175
-39,1095,183
-39,1087,135
-31,1111,159
-31,1087,175
-47,1095,143
-23,1095,143
0,1079,151
-31,1095,175
-47,1079,167
-15,1079,151
-7,1095,167
-31,1055,167
-23,1111,183
-63,1079,151
-39,1087,167
-39,1087,143
-31,1079,159
-39,1095,183
-63,1087,167
-39,1111,183
-31,1095,167
0,1079,143
-23,1095,151
-39,1079,175
-47,1087,183
-15,1103,151
-63,1087,159
-39,1103,175
-39,1087,159
-31,1103,159
-47,1087,127
-47,1047,151
-15,1087,167
-31,1087,159
-31,1079,199
-31,1087,119
-15,1071,143
-23,1095,223
-47,1095,159
-23,1087,191
-31,1095,143
-23,1087,175
-15,1079,167
0,1071,159
-23,1071,191
-15,1087,175
-31,1103,143
-15,1103,159
-23,1087,159
-55,1071,159
-23,1087,151
-15,1095,175
-39,1087,159
-47,1095,159
-31,1071,167
-15,1103,143
-23,1087,199
-15,1103,143
-31,1095,191
-47,1095,183
-15,1095,199
-23,1087,175
-23,1071,167
-31,1071,143
-23,1095,167
-15,1079,151
-15,1095,175
-15,1095,191
-31,1071,127
-15,1087,167
-15,1111,143
0,1095,151
-23,1095,167
-63,1087,135
-31,1095,167
-23,1095,159
-39,1111,167
-31,1087,191
-39,1095,151
0,1111,167
-39,1095,143
-23,1063,183
-23,1103,175
-23,1079,175
0,1103,175
-31,1079,175
0,1111,183
0,1103,175
-31,1087,159
-31,1111,183
-15,1079,199
-31,1103,175
-31,1087,159
-31,1103,183
-23,1071,183
-39,1103,135
-31,1095,191
-23,1111,167
-39,1095,175
-31,1079,183
0,1103,183
-15,1119,159
-15,1063,127
-47,1087,151
-39,1103,151
0,1095,143
-23,1103,199
-31,1079,151
-31,1103,135
-23,1071,159
-31,1087,151
-23,1087,175
-7,1111,159
-47,1079,199
-55,1063,151
-39,1111,143
-55,1103,159
-31,1087,159
-23,1087,143
-39,1079,135
-31,1111,175
-39,1079,167
-31,1087,175
-31,1079,167
-31,1079,151
-31,1079,151
-23,1087,183
-39,1095,143
-7,1095,183
-39,1087,143
-23,1119,167
-31,1071,135
-23,1087,167
-47,1111,167
-31,1087,151
-15,1079,151
-15,1127,175
-23,1103,151
-31,1071,159
-23,1087,151
-31,1071,183
-31,1103,175
-39,1063,167
-39,1095,143
-31,1095,159
-31,1095,175
-39,1103,127
-47,1111,175
-39,1095,183
-23,1095,151
-31,1087,143
-31,1103,191
-23,1079,159
-23,1087,191
-47,1071,135
-15,1103,191
0,1103,143
-15,1111,159
-31,1103,151
-47,1071,159
0,1079,159
-15,1087,135
-47,1103,167
-23,1103,183
0,1063,183
0,1103,167
-23,1079,191
-31,1079,159
-23,1103,191
-31,1079,159
-39,1071,159
-15,1103,199
-23,1119,167
-15,1095,191
-31,1087,175
0,1111,167
-31,1079,175
-15,1087,143
-15,1071,167
-63,1071,135
0,1111,191
-47,1095,151
-31,1103,175
-7,1095,183
0,1079,167
-39,1095,151
-15,1079,175
-47,1095,175
-31,1095,191
-39,1079,175
-39,1103,175
-23,1119,159
-47,1095,151
0,1103,135
-39,1087,191
-55,1095,167
-23,1103,191
-23,1095,167
-23,1095,167
-39,1079,167
-23,1095,151
-31,1087,167
-23,1079,159
-31,1103,175
-39,1087,159
-31,1079,103
-31,1095,143
-39,1095,183
-23,1071,183
-31,1079,191
-47,1079,183
-55,1079,135
-23,1103,151
-23,1111,175
-31,1063,159
-31,1087,143
-71,1071,159
-31,1111,159
-31,1087,175
-23,1087,151
-31,1087,143
-39,1103,167
-15,1095,199
-23,1111,127
-15,1087,191
-31,1111,151
-47,1079,175
-31,1119,159
-39,1087,167
-23,1111,175
-23,1103,151
0,1055,159
-15,1071,159
0,1095,191
-39,1095,199
0,1111,151
0,1087,167
-39,1095,143
-31,1055,167
-31,1103,175
0,1087,151
-15,1071,159
-39,1103,167
-31,1103,175
-39,1111,183
-47,1079,159
-31,1063,159
-39,1095,183
-23,1071,167
0,1103,159
-15,1087,103
-47,1079,183
-23,1079,191
-55,1087,159
-23,1087,175
-15,1071,143
-15,1087,167
-39,1063,151
-31,1071,127
-15,1103,175
-39,1087,151
-31,1087,175
-39,1103,175
-23,1071,135
-15,1111,159
-39,1079,151
-47,1111,119
-15,1071,159
-31,1079,191
-15,1119,167
-31,1071,167
-39,1095,191
-39,1087,127
-47,1071,135
-39,1079,159
-31,1103,183
-31,1095,135
-23,1087,175
-31,1087,183
0,1087,167
-15,1087,167
-31,1079,175
-31,1079,151
-23,1087,159
-47,1071,143
-15,1087,167
-31,1111,183
-31,1087,183
-31,1111,159
-23,1087,183
-47,1087,151
-47,1079,151
-63,1079,159
0,1103,151
-47,1111,183
-23,1103,159
-31,1087,175
0,1095,159
-55,1087,167
-15,1087,167
-31,1087,151
-7,1111,175
-39,1111,175
-23,1079,167
0,1103,175
-23,1095,183
-31,1095,175
0,1071,167
-23,1103,159
-7,1095,143
-23,1095,175
-23,1103,191
-31,1087,159
-23,1079,143
-31,1087,143
-23,1079,151
-23,1087,183
0,1095,135
-15,1095,151
-23,1087,159
0,1087,175
0,1095,127
-39,1087,167
-31,1095,151
-39,1087,167
-31,1103,151
-23,1111,191
-31,1087,151
-23,1103,183
-15,1095,159
-15,1087,151
-31,1087,183
-31,1095,143
-31,1103,191
-31,1095,151
-23,1103,167
-15,1111,191
0,1079,159
-39,1095,175
-23,1079,183
-15,1063,191
-31,1111,167
-23,1079,183
-23,1095,143
-15,1079,183
-55,1103,175
-47,1079,167
-31,1079,175
-23,1103,159
-15,1103,151
-31,1095,183
-31,1063,143
-39,1087,175
-31,1095,151
0,1071,167
-15,1087,159
-31,1111,159
-31,1087,183
-23,1087,151
0,1087,175
-23,1087,175
-39,1087,151
-39,1079,175
-7,1071,199
-23,1087,151
-31,1103,151
0,1071,175
-15,1087,159
-39,1087,151
-31,1071,159
-23,1103,191
-31,1087,127
-15,1095,175
-31,1095,151
-15,1071,175
-31,1095,151
-23,1103,167
-63,1095,111
-15,1071,159
-23,1095,175
-39,1095,183
-31,1087,151
-39,1079,111
-23,1071,167
-31,1103,143
-47,1095,159
-39,1095,159
-15,1103,151
-47,1103,159
-23,1103,191
-15,1103,151
-39,1071,151
-23,1111,143
-39,1087,167
-39,1111,159
-15,1079,175
-47,1079,143
-47,1079,199
-47,1087,175
-39,1103,175
-31,1063,175
-39,1119,167
0,1079,151
0,1063,151
-31,1087,183
-23,1071,151
-39,1111,183
-31,1095,167
-39,1071,151
-15,1087,175
0,1119,151
-31,1087,159
-23,1111,167
-31,1087,151
-23,1103,159
-31,1087,183
-23,1111,175
-23,1103,183
-15,1079,143
-23,1079,127
0,1079,183
0,1079,159
-7,1095,159
-39,1079,167
-7,1103,127
-31,1103,159
-23,1103,159
-39,1087,151
-23,1079,207
-31,1071,183
0,1079,159
-39,1119,159
-15,1079,151
-31,1119,159
-23,1111,167
-55,1087,151
-15,1079,175
-15,1095,167
-15,1071,135
-31,1095,175
-39,1079,175
0,1087,183
-31,1095,159
-23,1087,175
-23,1103,159
-63,1079,167
-15,1095,175
-31,1111,183
-23,1095,167
-7,1079,175
-31,1055,167
-31,1095,175
-31,1103,151
-15,1095,159
-23,1111,183
-31,1063,175
-15,1087,159
-39,1079,151
-31,1095,191
-39,1111,159
-39,1055,207
0,1079,151
-7,1079,191
-23,1079,191
-47,1087,151
-39,1095,151
-39,1095,159
-47,1103,175
-23,1087,175
-23,1087,159
0,1135,175
-15,1079,175
-23,1087,191
-31,1095,159
-47,1087,135
-31,1087,159
-31,1055,167
-39,1087,167
-31,1103,127
-39,1087,159
-31,1103,183
-23,1095,175
-31,1079,151
-15,1095,167
-39,1079,167
-23,1087,167
-15,1103,175
-55,1095,175
-31,1127,151
-39,1087,183
-23,1079,111
-23,1087,143
-15,1087,183
-23,1111,159
-31,1087,175
-23,1119,183
-15,1071,199
-31,1087,175
-23,1095,183
-31,1055,159
-23,1095,159
-39,1087,151
-23,1079,167
0,1095,159
-39,1079,191
-23,1095,159
-31,1055,175
-23,1111,175
-31,1095,167
-47,1103,167
-15,1079,151
-23,1087,127
-23,1079,191
-23,1079,151
-23,1111,151
0,1079,175
-63,1063,159
-23,1095,151
-55,1079,167
-31,1087,175
-39,1119,183
-7,1079,143
-15,1095,183
-23,1087,175
-31,1111,191
-15,1103,167
-31,1055,167
-23,1079,191
-23,1087,151
-31,1087,175
-23,1087,159
-23,1087,159
-15,1087,183
-15,1111,151
-39,1071,119
-47,1103,175
-39,1079,135
-39,1095,143
-47,1095,159
-39,1063,167
0,1079,143
-31,1079,159
-47,1111,159
-15,1079,215
-39,1095,167
-23,1095,175
-23,1119,159
-47,1087,151
-31,1087,167
-39,1103,127
-15,1103,151
-23,1103,167
-31,1087,191
-39,1103,167
0,1071,143
-31,1079,191
-15,1079,175
-39,1063,159
-31,1095,175
-31,1111,167
-31,1103,175
-55,1087,135
-15,1071,159
-23,1087,135
-23,1087,175
-39,1103,159
0,1095,159
-15,1071,175
-23,1095,159
-31,1087,151
-31,1111,167
-47,1087,151
-31,1087,159
-47,1095,159
-39,1079,175
-23,1087,207
-31,1087,167
-39,1095,159
-47,1087,167
-47,1087,151
-39,1087,159
-23,1087,135
-39,1079,207
-15,1095,143
-31,1103,175
-47,1079,183
-15,1087,167
-31,1079,183
-23,1095,151
-15,1063,159
-15,1079,143
-31,1079,159
-47,1111,159
-31,1087,183
-23,1047,191
-15,1111,135
-39,1087,159
-15,1087,135
0,1079,191
-31,1087,191
-39,1111,143
-23,1079,151
-31,1103,127
-23,1103,127
0,1103,159
-31,1095,175
-23,1103,111
-15,1111,159
-31,1079,159
-23,1111,167
0,1103,167
0,1087,135
-15,1111,175
-23,1087,127
-31,1087,143
-31,1095,143
0,1103,183
-7,1103,175
-31,1063,143
-15,1079,183
-31,1111,159
-39,1119,143
-7,1071,167
-31,1071,159
-23,1103,175
-31,1087,151
-23,1111,151
-15,1071,191
-39,1063,159
-23,1111,167
-39,1079,159
-31,1103,143
-15,1103,191
-23,1095,159
-23,1095,151
-15,1087,159
-31,1111,191
-31,1111,135
-15,1087,151
-15,1087,191
-23,1095,127
-31,1095,167
-23,1095,135
-55,1071,175
-7,1119,159
-15,1079,167
-23,1079,111
-7,1087,183
-31,1095,151
-15,1103,167
0,1071,191
-39,1079,159
-7,1103,135
-39,1095,167
-31,1095,119
-31,1079,151
-47,1103,183
-23,1079,159
-15,1087,183
-31,1071,151
-39,1095,167
-23,1087,151
0,1111,151
-15,1063,175
-23,1087,191
-15,1071,143
-23,1087,127
-55,1087,151
-31,1079,151
-39,1095,167
-31,1119,183
-39,1095,167
0,1127,127
-23,1087,175
-31,1063,151
-39,1119,183
-31,1095,143
-39,1103,119
-15,1071,159
-23,1071,159
-39,1103,143
-31,1119,175
-31,1095,159
-31,1055,167
-23,1095,183
-39,1103,159
-39,1087,183
0,1063,175
-31,1103,143
-31,1087,175
-15,1087,143
-23,1071,151
-31,1047,151
-31,1103,135
-31,1095,159
0,1103,167
0,1079,159
-7,1087,175
-31,1071,151
-31,1079,151
-39,1103,167
-39,1119,159
-31,1103,159
-47,1071,175
-23,1079,175
-31,1087,175
-15,1095,151
-23,1071,199
-39,1087,191
0,1095,199
-39,1087,143
-39,1079,167
-31,1111,183
-47,1103,159
-23,1095,175
-71,1095,159
-39,1071,167
-39,1087,167
-31,1063,151
-39,1087,143
-23,1079,167
-31,1079,167
-47,1119,167
-47,1095,159
-31,1079,191
-23,1103,175
-47,1095,199
-31,1103,135
-31,1063,159
-15,1103,175
-39,1087,151
-15,1087,183
-31,1103,167
-23,1095,135
-31,1087,143
-23,1071,183
-39,1063,167
-31,1087,175
0,1095,159
0,1063,151
-47,1087,127
-47,1095,175
-23,1087,175
-7,1087,175
-31,1071,127
-23,1087,119
-15,1103,183
-15,1095,159
-15,1071,143
-31,1095,159
-31,1087,135
-31,1087,191
-15,1103,167
0,1095,151
-31,1103,151
-55,1095,167
-7,1111,215
-23,1095,183
0,1103,151
-31,1087,143
-47,1071,159
-23,1087,159
-39,1111,175
0,1087,175
-31,1103,159
-31,1055,159
-15,1079,167
-31,1103,159
-39,1095,175
-15,1079,191
0,1063,151
-31,1087,151
-15,1079,199
-15,1095,151
-23,1087,199
-39,1095,175
-23,1079,191
-31,1087,167
-7,1079,167
0,1087,191
-23,1095,159
-31,1087,199
0,1103,127
-23,1087,183
-23,1111,183
-47,1071,167
-31,1087,167
-23,1079,135
-23,1111,191
-31,1071,183
-31,1087,159
-31,1095,191
-39,1071,167
-23,1079,167
-23,1087,159
-31,1079,151
-23,1087,167
-15,1087,167
-23,1087,159
-23,1087,175
0,1063,183
-15,1079,159
0,1111,191
-47,1103,183
-31,1095,175
-23,1071,183
-55,1103,159
-23,1087,183
-15,1079,175
-23,1087,143
-39,1079,159
-15,1087,183
-15,1095,167
-15,1087,175
-47,1079,159
-39,1079,151
-23,1079,151
-23,1063,151
-15,1095,159
-47,1103,151
-23,1111,151
-31,1087,183
-39,1071,135
-31,1119,191
-39,1079,151
-31,1095,183
0,1095,183
-31,1079,135
-23,1103,151
-47,1071,151
-31,1111,167
-39,1087,191
-31,1063,183
-31,1095,151
-47,1087,159
-47,1079,159
-23,1079,175
-39,1087,191
-47,1087,143
-23,1079,167
-31,1095,199
-55,1103,167
-31,1079,159
-47,1079,175
-31,1079,159
-31,1079,167
-7,1103,159
-39,1103,159
-39,1071,151
-31,1103,159
-31,1087,207
0,1055,151
-31,1103,143
-39,1071,159
-31,1071,167
-31,1079,175
-15,1087,175
-23,1087,167
-31,1111,151
-47,1087,151
-31,1095,167
-15,1087,191
-31,1071,159
-23,1047,135
0,1095,175
-39,1095,183
-23,1071,159
-23,1095,151
-39,1087,159
-31,1119,159
-55,1103,151
-31,1087,111
-23,1103,151
-39,1111,167
0,1063,175
-23,1111,151
-23,1111,167
-23,1111,167
-31,1063,159
-23,1087,167
0,1095,175
-23,1063,159
-23,1095,159
-23,1095,175
-23,1095,175
-39,1087,159
-23,1071,151
-15,1079,175
-39,1063,143
-15,1103,159
-39,1095,175
-31,1119,159
-15,1103,199
-23,1095,135
0,1079,167
-31,1087,167
-47,1103,167
-47,1103,143
-31,1087,175
-23,1079,183
-39,1103,175
-23,1087,135
-23,1079,135
-39,1071,143
-15,1111,159
-55,1079,175
-31,1103,183
-23,1071,167
-31,1103,159
0,1087,135
-15,1087,159
-15,1079,119
-15,1095,167
-47,1071,151
-7,1095,151
-39,1087,143
-39,1103,183
-15,1119,127
-47,1079,167
-39,1103,95
-47,1095,159
-23,1095,183
-47,1079,167
-23,1079,151
-31,1071,175
-31,1095,151
-39,1079,159
-47,1095,135
-7,1095,167
-31,1103,175
-55,1063,127
-15,1087,183
-23,1071,183
-15,1095,167
-31,1103,151
-31,1079,151
-47,1079,167
-31,1103,159
-31,1071,159
-15,1111,191
-31,1103,151
-15,1087,159
0,1071,135
-15,1079,159
-47,1071,167
-23,1087,159
-31,1095,175
-31,1071,151
-39,1103,159
-39,1119,175
-39,1087,183
-23,1095,167
-79,1103,175
-39,1095,183
-31,1087,159
-23,1087,159
-55,1095,159
-23,1095,159
0,1119,191
-47,1071,159
-31,1095,167
-23,1087,191
-23,1079,159
0,1087,151
-39,1087,167
-31,1095,159
-23,1087,175
-31,1071,183
-31,1103,175
-23,1079,135
-39,1087,199
-7,1071,159
-47,1095,151
-23,1095,143
-23,1071,191
-39,1087,167
-47,1079,143
-15,1079,143
0,1063,167
-23,1087,159
-39,1103,151
-31,1087,151
-39,1087,151
-31,1087,175
-23,1063,175
-47,1111,151
-15,1087,159
-39,1095,167
-31,1095,135
0,1127,175
-39,1079,199
-15,1103,151
-39,1087,167
-31,1127,151
-31,1095,175
-23,1103,159
-15,1071,167
-39,1079,167
-23,1111,143
-15,1063,183
-47,1103,183
-31,1103,175
-15,1095,175
-47,1071,183
-39,1079,151
-47,1095,175
-23,1119,175
-39,1071,175
-7,1095,175
0,1095,167
-15,1103,135
-31,1079,151
-23,1079,167
-31,1071,167
-47,1111,151
0,1095,175
-39,1087,135
-15,1087,175
-31,1079,143
-39,1095,167
-15,1087,159
-63,1071,119
-23,1103,119
-55,1079,159
-55,1095,167
-23,1119,135
-39,1087,143
-15,1079,151
-31,1111,159
-23,1087,143
-15,1079,191
-31,1087,143
-23,1111,135
0,1063,167
-23,1095,183
-15,1087,159
-39,1087,167
-15,1087,183
-15,1079,151
-39,1071,159
-7,1103,151
-47,1079,167
-31,1079,159
-39,1079,159
-39,1079,151
-15,1095,151
-23,1087,167
-23,1047,159
-39,1087,191
-23,1111,175
-15,1087,151
-7,1103,159
-15,1087,151
-39,1103,167
-23,1087,159
